id,commercial_name,active,inscription_date,registry_num,formula,active_ingredient,pharma_comp,pharmaceutical_form,concentration,level_price,range_price,min_presentation_price,max_presentation_price,created_at,updated_at,hash
2478,BRONCHO- VAXOM ADULTOS CAPSULAS 7 mg,A,1985-07-24,,,,,,,1.68,$19.21 - $43.03,19.21,43.03,2019-12-17 17:41:40,2019-12-17 17:41:40,0eb6bbaab39d795ca67d768f1c6fe2a6
2479,BRONCHO-VAXOM INFANTIL CAPSULAS,A,1985-07-24,,,,,,,1.24,$13.46 - $33.97,13.46,33.97,2019-12-17 17:41:40,2019-12-17 17:41:40,818d4a9faff63448049df0d271663fc7
2480,DIPIRONA MAGNESICA VIJOSA 0.4g/mL SOLUCION INYECTABLE,A,1985-07-24,13831,METAMIZOL MAGNESICO 0.4 g.,METAMIZOL MAGNESICO,LABORATORIOS VIJOSA,SOLUCION INYECTABLE,0.4 g.,0.27,$2.30 - $35.35,2.3,35.35,2019-12-17 17:41:40,2019-12-17 17:41:40,9742728ddde5038281c490cf44b6bc51
2481,FUNGI-SIL CREMA,A,1985-08-14,13842,Clotrimazol 1 g.,Clotrimazol,"LABORATORIOS SUIZOS, S.A. DE C.V.",CREMA,1 g.,0.2,$4.01 - $4.01,4.01,4.01,2019-12-17 17:41:40,2019-12-17 17:41:40,8fb84f0c08dcc39c6cddc358df511c39
2482,FUNGI-SIL SOLUCION,A,1985-08-14,13843,Clotrimazol 1 g.,Clotrimazol,"LABORATORIOS SUIZOS, S.A. DE C.V.",SOLUCION,1 g.,0.24,$4.84 - $4.84,4.84,4.84,2019-12-17 17:41:40,2019-12-17 17:41:40,d8d9633c05a2a28bbe593c431257af5d
2483,LONGAPRIN 40mg/200mg SUSPENSION ORAL,A,1985-09-11,13852,Sulfametoxazol 200 mg. + Trimetoprim 40 mg.,Sulfametoxazol + Trimetoprim,LABORATORIO FARMACEUTICO FARDEL,SUSPENSION ORAL,200 mg. + 40 mg.,0.06,$3.40 - $3.40,3.4,3.4,2019-12-17 17:41:40,2019-12-17 17:41:40,c3ccd09234cc09ed35b116849e97d913
2484,COLITRAN GRAGEAS,A,1985-09-11,13853,BROMURO DE CLIDINIO 2.5 mg. + CLORDIAZEPOXIDO 5 mg.,BROMURO DE CLIDINIO + CLORDIAZEPOXIDO,"LABORATORIOS GENERIX, S.A. DE C.V.",GRAGEAS,2.5 mg. + 5 mg.,0.2,$1.40 - $24.91,1.4,24.91,2019-12-17 17:41:40,2019-12-17 17:41:40,ccb52292a388010bc0b4ac359f61f641
2485,HERPESAN GEL,A,1985-08-28,13857,CARBENOXOLONA SODICA 0.104 g.,CARBENOXOLONA SODICA,ROWA PHARMACEUTICALS LIMITED,GEL,0.104 g.,1.45,$7.24 - $7.24,7.24,7.24,2019-12-17 17:41:40,2019-12-17 17:41:40,024381fa399aef11c19e27d63c942efb
2486,NIMOTOP SOLUCION PARA INFUSION,A,1985-09-11,13869,Nimodipino 0.01 g.,Nimodipino,BAYER AG. ,SOLUCION PARA INFUSION,0.01 g.,0.68,$34.19 - $34.19,34.19,34.19,2019-12-17 17:41:40,2019-12-17 17:41:40,c610ee4b9066a5986322d4ba15dded8e
2487,NIMOTOP 30 mg COMPRIMIDOS RECUBIERTOS,A,1985-09-11,13870,Nimodipino 30 mg. + Nimodipino 30 mg. + Nimodipino 30 mg.,Nimodipino + Nimodipino + Nimodipino,"CORPORACION BONIMA, S.A. DE C.V.",COMPRIMIDO RECUBIERTO,30 mg. + 30 mg. + 30 mg.,0.58,$17.42 - $17.42,17.42,17.42,2019-12-17 17:41:40,2019-12-17 17:41:40,d0959d1e3ce72b0fb52d4de2df0f1bce
2488,PABANOL LOCION,A,1985-09-25,13871,ACIDO P-AMINOBENZOICO 5 g.,ACIDO P-AMINOBENZOICO,LABORATORIOS PHARMATOR,LOCION,5 g.,0.06,$9.63 - $9.63,9.63,9.63,2019-12-17 17:41:40,2019-12-17 17:41:40,34afc357e60bf6a724fcba50ee79f628
2489,AIRESSA 50 mg SUSPENSION ORAL ,A,1985-09-25,13875,Dimeticona 0.05 g.,Dimeticona,LABORATORIO FARMACEUTICO FARDEL,SUSPENSION ORAL,0.05 g.,0.4,$5.98 - $5.98,5.98,5.98,2019-12-17 17:41:40,2019-12-17 17:41:40,f55eb00c6d7fe35c3c31f8b5d3aabada
2490,ALBUGENOL 2 mg TABLETAS,A,2013-09-19,13911,SALBUTAMOL 2 mg.,SALBUTAMOL,"LABORATORIOS GENERIX, S.A. DE C.V.",TABLETAS,2 mg.,0.15,$2.00 - $3.05,2,3.05,2019-12-17 17:41:41,2019-12-17 17:41:41,723d8302e342e23658efca9f796ea00c
2491,LOTRIDERM 0.5mg/10mg/g CREMA,A,1985-10-23,13912,Clotrimazol 10 mg. + Betametasona dipropionato 0.643 mg.,Clotrimazol + Betametasona dipropionato,SCHERING PLOUGH LABO N.V. ,CREMA,10 mg. + 0.643 mg.,0.77,$11.52 - $11.52,11.52,11.52,2019-12-17 17:41:41,2019-12-17 17:41:41,f5935a060f039c269e82ffaa912b0c35
2492,BUCLIFENO VITA CAPSULAS,A,1985-09-25,13926,CIANOCOBALAMINA 2.5 mcg. + NICOTINAMIDA 5 mg. + TIAMINA MONONITRATO 5 mg. + Colecalciferol 167 UI + BUCLIZINA 25 mg. + PIRIDOXINA HCL 5 mg. + RIVOFLAVINA 5 mg. + VITAMINA A 2 UI + VITAMINA C (ACIDO ASCORBICO) 20 mg.,CIANOCOBALAMINA + NICOTINAMIDA + TIAMINA MONONITRATO + Colecalciferol + BUCLIZINA + PIRIDOXINA HCL + RIVOFLAVINA + VITAMINA A + VITAMINA C (ACIDO ASCORBICO),LABORATORIOS MEDIKEM,CAPSULAS,2.5 mcg. + 5 mg. + 5 mg. + 167 UI + 25 mg. + 5 mg. + 5 mg. + 2 UI + 20 mg.,0.29,$6.31 - $7.69,6.31,7.69,2019-12-17 17:41:41,2019-12-17 17:41:41,15173f558355cd30a6363cd5dcfb2420
2493,ACETAMINOFEN MEDIKEM 120 mg/5 mL JARABE,A,1986-12-04,13936,Acetaminofén 120 mg.,Acetaminofén,LABORATORIOS MEDIKEM,JARABE,120 mg.,0.08,$4.29 - $10.23,4.29,10.23,2019-12-17 17:41:41,2019-12-17 17:41:41,a3e02e2b2d5c71c9f7f7c59762227846
2494,CROTAX 10% LOCION,A,1985-09-25,13937,CROTAMITON 10 g.,CROTAMITON,LABORATORIO FARMACEUTICO FARDEL,SOLUCION,10 g.,0.11,$6.72 - $6.72,6.72,6.72,2019-12-17 17:41:41,2019-12-17 17:41:41,7e4b36428a9649e064803ce1e227473b
2495,CLOR-ALEN 150 TABLETAS RECUBIERTAS,A,1986-02-12,13958,DIFOSFATO DE CLOROQUINA 250 mg.,DIFOSFATO DE CLOROQUINA,LABORATORIOS PHARMEDIC,TABLETAS RECUBIERTAS,250 mg.,,,,,2019-12-17 17:41:41,2019-12-17 17:41:41,46e341a0f5b975981c8dcde893b6a081
2496,CEBION 1g. TABLETAS EFERVESCENTES SABOR NARANJA,A,1986-02-26,13978,ACIDO ASCORBICO 1000 mg.,ACIDO ASCORBICO,ALTEA FARMACEUTICA S.A.,TABLETAS EFERVESCENTES,1000 mg.,0.56,$5.60 - $5.60,5.6,5.6,2019-12-17 17:41:41,2019-12-17 17:41:41,5a64cda876f1e21d3ef7b17c43afce20
2497,ALBUGENOL SOLUCION PARA NEBULIZAR,A,1986-02-26,13980,SALBUTAMOL 6 mg.,SALBUTAMOL,"LABORATORIOS GENERIX, S.A. DE C.V.",SOLUCION PARA NEBULIZACION,6 mg.,0.39,$3.99 - $7.70,3.99,7.7,2019-12-17 17:41:41,2019-12-17 17:41:41,f04068420c1a8547681cb103a8d82d3c
2498,TAMBOCOR 100 mg COMPRIMIDOS,A,1986-02-26,13992,FLECAINIDA ACETATO 100 mg.,FLECAINIDA ACETATO,3M HEALTH CARE LIMITED,TABLETAS,100 mg.,0.85,$21.17 - $21.17,21.17,21.17,2019-12-17 17:41:41,2019-12-17 17:41:41,96553288c97dc01b1d8ff429dae65a2b
2499,DOLO NERVOFER TABLETAS,A,1986-02-26,13993,DICLOFENAC SODICO 50 mg. + VITAMINA B12  100 mcg. + Tiamina clorhidrato 100 mg. + CLORHIDRATO DE PIRIDOXINA 100 mg.,DICLOFENAC SODICO + VITAMINA B12  + Tiamina clorhidrato + CLORHIDRATO DE PIRIDOXINA,LABORATORIO FERSON,TABLETAS,50 mg. + 100 mcg. + 100 mg. + 100 mg.,0.21,$1.36 - $53.56,1.36,53.56,2019-12-17 17:41:41,2019-12-17 17:41:41,45c2372428b14861d235814de742f3a9
2500,SARGENOR AMPOLLAS BEBIBLES (1 g/5 mL),A,1986-03-12,13997,ASPARTATO DE ARGININA 1 mg.,ASPARTATO DE ARGININA,MEDA MANUFACTURING,SOLUCION BEBIBLE,1 mg.,0.32,$20.34 - $22.43,20.34,22.43,2019-12-17 17:41:41,2019-12-17 17:41:41,d1249e6da9f624c56401cb30d626485a
2501,FORTUM 1 G INYECTABLE,A,1986-07-10,14043,CEFTADIZIMA PENTAHIDRATADO 1164 mg.,CEFTADIZIMA PENTAHIDRATADO,GLAXOSMITHKLINE MANUFACTURING SPA.,POLVO PARA SOLUCION INYECTABLE,1164 mg.,12.12,$12.12 - $12.12,12.12,12.12,2019-12-17 17:41:41,2019-12-17 17:41:41,ac2546def0e20bc11bfe2ed41b42e482
2502,ESTABILEN 10 mg TABLETAS,A,1986-05-07,14072,HIDROXICINA 10 mg.,HIDROXICINA,LABORATORIOS LOPEZ,TABLETAS,10 mg.,0.14,$2.78 - $2.78,2.78,2.78,2019-12-17 17:41:41,2019-12-17 17:41:41,fd6dd5a20bf0c78c54d0ef25a060637f
2503,TENORMIN 50 mg TABLETAS,A,1986-05-07,14085,Atenolol 50 mg.,Atenolol,ASTRAZENECA S.A. DE C.V.,TABLETAS,50 mg.,,,,,2019-12-17 17:41:41,2019-12-17 17:41:41,92fffe0490362d97e0b880896b80f4c2
2528,RECOVERON-N- UNGUENTO,A,1986-11-06,14316,Neomicina 0.612 g. + ACEXAMATO DE SODIO 5 g.,Neomicina + ACEXAMATO DE SODIO,"ARMSTRONG LABORATORIOS DE MEXICO, S.A. DE C.V.",UNGUENTO,0.612 g. + 5 g.,1.52,$13.46 - $13.96,13.46,13.96,2019-12-17 17:41:42,2019-12-17 17:41:42,36172476d093ebb64d30543c4196138e
2504,FERRODINA PEDIATRICA JARABE,A,1986-05-07,14102,RIBOFLAVINA 2 mg. + NICOTINAMIDA 6 mg. + VITAMINA B12  0.006 mg. + Tiamina 6 mg. + Sulfato ferroso heptahidrato 125 mg. + VITAMINA D 130 mg. + PIRIDOXINA 3 mg. + FLUORURO 0.3 mg. + VITAMINA A 1500 UI + ACIDO ASCORBICO 50 mg. + LISINA CLORHIDRATO 100 mg.,RIBOFLAVINA + NICOTINAMIDA + VITAMINA B12  + Tiamina + Sulfato ferroso heptahidrato + VITAMINA D + PIRIDOXINA + FLUORURO + VITAMINA A + ACIDO ASCORBICO + LISINA CLORHIDRATO,"LABORATORIOS GENERIX, S.A. DE C.V.",JARABE,2 mg. + 6 mg. + 0.006 mg. + 6 mg. + 125 mg. + 130 mg. + 3 mg. + 0.3 mg. + 1500 UI + 50 mg. + 100 mg.,0.05,$5.59 - $5.59,5.59,5.59,2019-12-17 17:41:41,2019-12-17 17:41:41,75909e6c9f24e02ff047298aedaf2b49
2505,FERROLENT SIMPLE GOTAS PEDIATRICAS SOLUCION,A,1986-05-07,14105,Sulfato ferroso 625 mg.,Sulfato ferroso,LABORATORIOS BARLY S.A,SOLUCION,625 mg.,0.14,$4.13 - $4.13,4.13,4.13,2019-12-17 17:41:41,2019-12-17 17:41:41,ac72b537a4e1d5379843c38ce1246afe
2506,ULTRA CAMPOLON SOLUCION INYECTABLE,A,1986-05-21,14131,VITAMINA B12 (CIANOCOBALAMINA) 10 mcg. + Ácido fólico 0.6 mg. + VITAMINA B1 100 mg. + VITAMINA B6 100 mg. + VITAMINA B3 (NICOTINAMIDA) 40 mg.,VITAMINA B12 (CIANOCOBALAMINA) + Ácido fólico + VITAMINA B1 + VITAMINA B6 + VITAMINA B3 (NICOTINAMIDA),LABORATORIOS VIJOSA,SOLUCION INYECTABLE,10 mcg. + 0.6 mg. + 100 mg. + 100 mg. + 40 mg.,,,,,2019-12-17 17:41:41,2019-12-17 17:41:41,8011a98afe5cc4ed02105a38ccf475d6
2507,"NERVIDOCE 10,000 SOLUCION INYECTABLE",A,1986-05-21,14132,VITAMINA B12 (CIANOCOBALAMINA) 10000 mcg. + VITAMINA B1(TIAMINA HCL) 250 mg. + VITAMINA B6 (PIRIDOXINA HCL) 100 mg.,VITAMINA B12 (CIANOCOBALAMINA) + VITAMINA B1(TIAMINA HCL) + VITAMINA B6 (PIRIDOXINA HCL),LABORATORIOS VIJOSA,SOLUCION INYECTABLE,10000 mcg. + 250 mg. + 100 mg.,2.02,$4.04 - $4.04,4.04,4.04,2019-12-17 17:41:41,2019-12-17 17:41:41,a1b3a036743927da370175e6e6088368
2508,CYCLONOR  (10/150) mg/mL SOLUCIÓN INYECTABLE,A,1986-05-21,14133,ACETOFENIDO DE DIHIDROXIPROGESTERONA 150 mg. + ENANTATO DE ESTRADIOL 10 mg.,ACETOFENIDO DE DIHIDROXIPROGESTERONA + ENANTATO DE ESTRADIOL,LABORATORIOS VIJOSA,SOLUCION INYECTABLE,150 mg. + 10 mg.,5.25,$5.25 - $5.25,5.25,5.25,2019-12-17 17:41:41,2019-12-17 17:41:41,413d4133e11db73b1d6311019b663c82
2509,DOLO NERVIDOCE NORDIC SOLUCION INYECTABLE,A,1986-05-21,14134,TIAMINA CLORHIDRATO 250 mg. + CIANOCOBALAMINA 5 mg. + CLORHIDRATO DE PIRIDOXINA 100 mg. + Metamizol sódico 500 mg.,TIAMINA CLORHIDRATO + CIANOCOBALAMINA + CLORHIDRATO DE PIRIDOXINA + Metamizol sódico,LABORATORIOS VIJOSA,SOLUCION INYECTABLE,250 mg. + 5 mg. + 100 mg. + 500 mg.,4.57,$4.57 - $4.57,4.57,4.57,2019-12-17 17:41:41,2019-12-17 17:41:41,4208df37da19d5e8bdf74bca93c1d99e
2510,BRONDEX   5mg/mL  SOLUCION PARA INHALACION,A,1986-06-11,14141,SALBUTAMOL SULFATO 5 mg.,SALBUTAMOL SULFATO,LABORATORIO FARMACEUTICO FARDEL,SOLUCION PARA INHALACION,5 mg.,0.36,$7.18 - $7.18,7.18,7.18,2019-12-17 17:41:41,2019-12-17 17:41:41,1e1047348181526c429dec58f6cee5ad
2511,CLORANFENICOL-HIDROCORTISONA GAMMA COLIRIO,A,1986-06-11,14144,Hidrocortisona 0.5 mg. + Cloramfenicol 0.1 mg.,Hidrocortisona + Cloramfenicol,GAMMA LABORATORIES ,COLIRIO,0.5 mg. + 0.1 mg.,0.26,$3.09 - $3.14,3.09,3.14,2019-12-17 17:41:41,2019-12-17 17:41:41,68435cd862cc22dd241b66f2c7e49157
2512,APO-CARBAMAZEPINA 200 mg TABLETAS,A,1986-07-16,14164,Carbamazepina 200 mg.,Carbamazepina,APOTEX INCORPORATED,TABLETAS,200 mg.,0.22,$0.31 - $18.00,0.31,18,2019-12-17 17:41:41,2019-12-17 17:41:41,1da0c3763b0869dbbc6109cabb79890f
2513,DEXAGARAOFTA 0.51/0.1% SOLUCION OFTALMICA,A,1986-07-16,14183,Dexametasona fosfato sódico 0.11 g. + Dexametasona fosfato sódico 0.11 g. + GENTAMICINA SULFATO 0.561 g. + GENTAMICINA SULFATO 0.561 g.,Dexametasona fosfato sódico + Dexametasona fosfato sódico + GENTAMICINA SULFATO + GENTAMICINA SULFATO,LABORATORIOS LAFAR,SOLUCION OFTALMICA,0.11 g. + 0.11 g. + 0.561 g. + 0.561 g.,2,$10.01 - $10.01,10.01,10.01,2019-12-17 17:41:41,2019-12-17 17:41:41,d6bc3d7ca62981d3f2d0e5e144ccd5b4
2514,FUCITHALMIC LEO 10 mg/g SUSPENSIÓN OFTÁLMICA,A,1986-06-25,14193,Ácido fusídico 10 mg.,Ácido fusídico,LEO LABORATORIES LTD.,SUSPENSION OFTALMICA,10 mg.,2.05,$15.11 - $15.41,15.11,15.41,2019-12-17 17:41:42,2019-12-17 17:41:42,e8aaf884cab25eb69f2e751dcce3b8f7
2515,"TENORETIC 50 mg / 12,5 mg TABLETAS",A,1986-08-29,14196,Atenolol 50 mg. + Clortalidona 12.5 mg.,Atenolol + Clortalidona,ASTRAZENECA S.A. DE C.V.,TABLETAS,50 mg. + 12.5 mg.,1.71,$24.00 - $24.00,24,24,2019-12-17 17:41:42,2019-12-17 17:41:42,3b3c565ebb486d2eb3571ecc52ed1dbb
2516,NIZORAL  2 g CREMA,A,1986-10-08,14200,Ketoconazol 2 g.,Ketoconazol,"JANSSEN CILAG, S.A. DE C.V., MEXICO",CREMA,2 g.,0.26,$10.40 - $10.40,10.4,10.4,2019-12-17 17:41:42,2019-12-17 17:41:42,3737c8a62321d417e61b45733ce78f5b
2517,CYTOTEC 200 mcg TABLETAS,A,1986-10-08,14209,MISOPROSTOL 200 mcg.,MISOPROSTOL,PIRAMAL HEALTHCARE UK LIMITED ,TABLETAS,200 mcg.,,,,,2019-12-17 17:41:42,2019-12-17 17:41:42,ed15ea362fda046d495d0bdb550795da
2518,LOTRIAL 10 mg. COMPRIMIDOS,A,1986-10-08,14225,ENALAPRIL MALEATO 10 mg.,ENALAPRIL MALEATO,ROEMMERS S.A.,COMPRIMIDOS,10 mg.,0.3,$9.29 - $29.13,9.29,29.13,2019-12-17 17:41:42,2019-12-17 17:41:42,77d9c7f5024cc03cd1eb2a16d2580250
2519,LOTRIAL 20 mg. COMPRIMIDOS,A,1986-10-08,14227,ENALAPRIL MALEATO 20 mg.,ENALAPRIL MALEATO,ROEMMERS S.A.,COMPRIMIDO,20 mg.,0.38,$14.79 - $26.57,14.79,26.57,2019-12-17 17:41:42,2019-12-17 17:41:42,e876add74da4061b5c4d72559d862f36
2520,CROMATONBIC FERRO ADULTOS POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE,A,1986-11-06,14248,FOLINATO CÁLCICO 200 mcg. + CIANOCOBALAMINA 1000 mcg. + FERRICITRATO AMONIACAL 50 mg.,FOLINATO CÁLCICO + CIANOCOBALAMINA + FERRICITRATO AMONIACAL,A. MENARINI MANUFACTURING LOGISTICS AND SERVICES S.R.L,POLVO LIOFILIZADO PARA SOLUCION INYECTABLE,200 mcg. + 1000 mcg. + 50 mg.,0.03,$24.76 - $25.42,24.76,25.42,2019-12-17 17:41:42,2019-12-17 17:41:42,0b1475ebb7703cf0e667cff18173a5f9
2521,PROPAL 40 TABLETAS,A,1986-11-06,14276,PROPRANOLOL HCl 40 mg.,PROPRANOLOL HCl,LABORATORIOS PHARMEDIC,TABLETAS,40 mg.,0.09,$0.10 - $6.22,0.1,6.22,2019-12-17 17:41:42,2019-12-17 17:41:42,1e3e376aa50086126b2eebdc6dee38d7
2522,PROPAL 10 TABLETAS,A,1986-11-06,14277,PROPRANOLOL HCl 10 mg.,PROPRANOLOL HCl,LABORATORIOS PHARMEDIC,TABLETAS,10 mg.,0.09,$4.26 - $4.26,4.26,4.26,2019-12-17 17:41:42,2019-12-17 17:41:42,9c7f96371e6f8a07de5839f1dcbc2ffd
2523,METRONIDAZOL 500 mg TABLETAS ECOMED,A,1986-11-06,14280,Metronidazol 500 mg.,Metronidazol,LABORATORIOS PHARMEDIC,TABLETAS,500 mg.,0.37,$15.94 - $17.69,15.94,17.69,2019-12-17 17:41:42,2019-12-17 17:41:42,850c186cc9aeb90de3632277bcedf9fe
2524,VOLFENAC 75 mg/3mL SOLUCION INYECTABLE,A,1986-11-06,14283,DICLOFENACO SODICO 75 mg.,DICLOFENACO SODICO,LABORATORIO FARMACEUTICO PAILL,SOLUCION INYECTABLE,75 mg.,,,,,2019-12-17 17:41:42,2019-12-17 17:41:42,fe055cf64cea58af53cbb0d40c837375
2525,PURINOX 300 TABLETAS,A,1986-11-06,14285,Alopurinol 300 mg.,Alopurinol,LABORATORIOS PHARMEDIC,TABLETAS,300 mg.,0.53,$11.28 - $12.00,11.28,12,2019-12-17 17:41:42,2019-12-17 17:41:42,fbbb88cadad798c6415fba00d0da0ab4
2526,TRIMETOPRIM 160mg + SULFAMETOXAZOL 800mg TABLETAS ECOMED,A,1986-11-06,14286,TRIMETROPRIM SULFAMETOXAZOLE 800 mg. + Trimetoprim 160 mg.,TRIMETROPRIM SULFAMETOXAZOLE + Trimetoprim,LABORATORIOS PHARMEDIC,TABLETAS,800 mg. + 160 mg.,0.34,$20.47 - $20.47,20.47,20.47,2019-12-17 17:41:42,2019-12-17 17:41:42,06c1ee916f2e010b83871cad7c944e1a
2527,LEVOTRIX 100 TABLETAS ,A,1986-11-06,14287,Levotiroxina sódica 0.1 mg.,Levotiroxina sódica,LABORATORIOS PHARMEDIC,TABLETAS RECUBIERTAS,0.1 mg.,0.23,$11.42 - $11.42,11.42,11.42,2019-12-17 17:41:42,2019-12-17 17:41:42,782219c88f6e537ad24adee7b75a7b53
2529,RECOVERON UNGUENTO,A,1986-11-06,14318,ACEXAMATO DE SODIO 5 g.,ACEXAMATO DE SODIO,"ARMSTRONG LABORATORIOS DE MEXICO, S.A. DE C.V.",UNGUENTO,5 g.,0.35,$13.92 - $13.92,13.92,13.92,2019-12-17 17:41:42,2019-12-17 17:41:42,a37b55a8e77d8209e04296f90d547aff
2530,ATEMPERATOR 20g/100mL SOLUCIÓN ,A,1986-11-06,14319,ACIDO VALPROICO (VALPROATO DE MAGNESIO) 20 g.,ACIDO VALPROICO (VALPROATO DE MAGNESIO),"ARMSTRONG LABORATORIOS DE MEXICO, S.A. DE C.V.",SOLUCION,20 g.,0.32,$12.61 - $12.61,12.61,12.61,2019-12-17 17:41:42,2019-12-17 17:41:42,8319a08525b4d012355b90ed3022c948
2531,PARAS - GAMMA TABLETAS,A,1986-11-26,14347,Mebendazol 100 mg.,Mebendazol,GAMMA LABORATORIES ,TABLETAS,100 mg.,0.12,$0.22 - $2.06,0.22,2.06,2019-12-17 17:41:42,2019-12-17 17:41:42,04d05fd1c2e5ed05dee9343fcad178ab
2532,ULSURAN TABLETAS,A,1986-12-03,14353,Sucralfato 500 mg.,Sucralfato,"LABORATORIOS GENERIX, S.A. DE C.V.",TABLETAS,500 mg.,0.17,$6.71 - $6.71,6.71,6.71,2019-12-17 17:41:42,2019-12-17 17:41:42,4a1bc226aebe44562ac2acc0ff8b83be
2533,DILATREN 60 TABLETAS,A,1986-12-03,14354,DILTIAZEM 60 mg.,DILTIAZEM,"LABORATORIOS GENERIX, S.A. DE C.V.",TABLETAS,60 mg.,0.62,$8.17 - $8.29,8.17,8.29,2019-12-17 17:41:42,2019-12-17 17:41:42,ade2f2a51e0880f9fa9695bca2b1b634
2534,ALBUGENOL-TR SOLUCION PARA NEBULIZAR ,A,1986-11-26,14356,SALBUTAMOL 4.5 mg. + BROMURO DE IPRATROPIO 0.75 mg.,SALBUTAMOL + BROMURO DE IPRATROPIO,"LABORATORIOS GENERIX, S.A. DE C.V.",SOLUCION PARA NEBULIZACION,4.5 mg. + 0.75 mg.,0.88,$9.67 - $15.66,9.67,15.66,2019-12-17 17:41:42,2019-12-17 17:41:42,dbf0bda6f718b8f652ac6c59c25d3d0f
2535,VALESONE CREMA,A,1986-11-26,14357,Betametasona valerato 0.1 g.,Betametasona valerato,"LABORATORIOS GENERIX, S.A. DE C.V.",CREMA,0.1 g.,0.23,$3.52 - $3.52,3.52,3.52,2019-12-17 17:41:42,2019-12-17 17:41:42,6b25c2942d7fe50f1d2fcb812316883e
2536,ORTARON 200 mg TABLETAS,A,1986-11-26,14358,Amiodarona clorhidrato 200 mg.,Amiodarona clorhidrato,"LABORATORIOS GENERIX, S.A. DE C.V.",TABLETAS,200 mg.,0.46,$13.79 - $13.79,13.79,13.79,2019-12-17 17:41:43,2019-12-17 17:41:43,9af8dbf323fff16be3b4d16fbb50339c
2537,TROPIUM-750 mcg SOLUCION PARA NEBULIZAR,A,1986-12-03,14359,Bromuro de ipratropio 0.75 mg.,Bromuro de ipratropio,"LABORATORIOS GENERIX, S.A. DE C.V.",SOLUCION PARA NEBULIZACION,0.75 mg.,1.1,$12.29 - $19.35,12.29,19.35,2019-12-17 17:41:43,2019-12-17 17:41:43,7e41a4ee675337bf71b0f514c280f7ff
2538,XYLOCAL UNGUENTO,A,1986-11-26,14371,Lidocaína Clorhidrato 5 g.,Lidocaína Clorhidrato,"LABORATORIOS SUIZOS, S.A. DE C.V.",UNGUENTO,5 g.,0.27,$5.45 - $5.49,5.45,5.49,2019-12-17 17:41:43,2019-12-17 17:41:43,2003040eaebd5582fc6a914af1b22588
2539,IMOT OFTENO (F.F. SOLUCIÓN) AL  0.50%,A,1986-11-26,14372,TIMOLOL MALEATO (EQUIVALENTE  A TIMOLOL BASE 0.5g) 5 mg.,TIMOLOL MALEATO (EQUIVALENTE  A TIMOLOL BASE 0.5g),"LABORATORIOS SOPHIA, S.A. DE C.V.",SOLUCION,5 mg.,1.59,$23.78 - $23.78,23.78,23.78,2019-12-17 17:41:43,2019-12-17 17:41:43,4d61f25b7b5781ee3786ea7b9995e5d4
2540,TOXAZOL TABLETAS,A,1986-02-11,14377,Sulfametoxazol 400 mg. + Trimetoprim 80 mg.,Sulfametoxazol + Trimetoprim,GAMMA LABORATORIES ,TABLETAS,400 mg. + 80 mg.,0.38,$5.53 - $375.80,5.53,375.8,2019-12-17 17:41:43,2019-12-17 17:41:43,310b4347ebea606373c8876333eeb436
2541,SINTEMP GAMMA TABLETAS 500 mg,A,1987-01-14,14379,Acetaminofén 500 mg.,Acetaminofén,GAMMA LABORATORIES ,TABLETAS,500 mg.,0.12,$2.20 - $48.91,2.2,48.91,2019-12-17 17:41:43,2019-12-17 17:41:43,6e4127aab088e954e42951a5e57c12c7
2542,GAMMALER ANTIHISTAMINICO TABLETA 8 mg,A,1987-01-14,14380,BROMFENIRAMINA MALEATO 8 mg.,BROMFENIRAMINA MALEATO,GAMMA LABORATORIES ,TABLETAS,8 mg.,0.13,$0.92 - $28.20,0.92,28.2,2019-12-17 17:41:43,2019-12-17 17:41:43,d0a899aca94fd6001aab83af7e2f0c4b
2543,"NERVIDOCE SUPER FORTE 25,000 D.A. SOLUCION INYECTABLE",A,1986-12-03,14388,VITAMINA B12 (CIANOCOBALAMINA) 5 mcg. + VITAMINA B12a (HIDROXICOBALAMINA) 20 mcg. + VITAMINA B1 100 mg. + VITAMINA B6 100 mg.,VITAMINA B12 (CIANOCOBALAMINA) + VITAMINA B12a (HIDROXICOBALAMINA) + VITAMINA B1 + VITAMINA B6,LABORATORIOS VIJOSA,SOLUCION INYECTABLE,5 mcg. + 20 mcg. + 100 mg. + 100 mg.,3.3,$6.60 - $6.60,6.6,6.6,2019-12-17 17:41:43,2019-12-17 17:41:43,ca51f391847f09ece4fa5f36c05d6183
2544,MIGRASIL ANTIMIGRAÑOSO DE CRISIS TABLETAS,A,1987-01-14,14394,ERGOTAMINA 1 mg. + ERGOTAMINA 1 mg. + Cafeína 100 mg. + Cafeína 100 mg.,ERGOTAMINA + ERGOTAMINA + Cafeína + Cafeína,LABORATORIOS PHARMEDIC,TABLETAS,1 mg. + 1 mg. + 100 mg. + 100 mg.,0.22,$4.37 - $4.37,4.37,4.37,2019-12-17 17:41:43,2019-12-17 17:41:43,f398723797e81adaf5b2e72f3df395e0
